GEOID,NAME,variable,estimate,moe
17001,"Adams County, Illinois",B01001H_001,59988,95
17001,"Adams County, Illinois",B01002_001,41.4,0.4
17001,"Adams County, Illinois",B02001_001,65670,NA
17001,"Adams County, Illinois",B02001_002,60722,147
17001,"Adams County, Illinois",B07001_017,57999,737
17001,"Adams County, Illinois",B07011_001,31638,832
17001,"Adams County, Illinois",B15003_001,45862,183
17001,"Adams County, Illinois",B15003_017,13873,815
17001,"Adams County, Illinois",B15003_018,1903,283
17001,"Adams County, Illinois",B15003_019,4482,453
17001,"Adams County, Illinois",B15003_020,6322,574
17001,"Adams County, Illinois",B15003_021,4140,442
17001,"Adams County, Illinois",B15003_022,7537,601
17001,"Adams County, Illinois",B15003_023,3236,343
17001,"Adams County, Illinois",B15003_024,516,99
17001,"Adams County, Illinois",B15003_025,272,108
17001,"Adams County, Illinois",B17001_001,64256,242
17001,"Adams County, Illinois",B19301_001,31035,1212
17001,"Adams County, Illinois",B25002_001,30226,109
17001,"Adams County, Illinois",B25002_003,3027,374
17001,"Adams County, Illinois",B25007_001,27199,396
17001,"Adams County, Illinois",B25007_002,19474,527
17001,"Adams County, Illinois",B25024_001,30226,109
17001,"Adams County, Illinois",B25024_002,22373,520
17001,"Adams County, Illinois",B25024_003,1279,297
17001,"Adams County, Illinois",B25077_001,130500,4825
17003,"Alexander County, Illinois",B01001H_001,3769,30
17003,"Alexander County, Illinois",B01002_001,46.6,1.5
17003,"Alexander County, Illinois",B02001_001,6011,NA
17003,"Alexander County, Illinois",B02001_002,3803,51
17003,"Alexander County, Illinois",B07001_017,5332,225
17003,"Alexander County, Illinois",B07011_001,21691,1476
17003,"Alexander County, Illinois",B15003_001,4288,105
17003,"Alexander County, Illinois",B15003_017,1417,190
17003,"Alexander County, Illinois",B15003_018,244,80
17003,"Alexander County, Illinois",B15003_019,331,99
17003,"Alexander County, Illinois",B15003_020,747,125
17003,"Alexander County, Illinois",B15003_021,445,137
17003,"Alexander County, Illinois",B15003_022,380,94
17003,"Alexander County, Illinois",B15003_023,78,34
17003,"Alexander County, Illinois",B15003_024,36,30
17003,"Alexander County, Illinois",B15003_025,0,17
17003,"Alexander County, Illinois",B17001_001,5885,75
17003,"Alexander County, Illinois",B19301_001,20450,1854
17003,"Alexander County, Illinois",B25002_001,3965,36
17003,"Alexander County, Illinois",B25002_003,1713,173
17003,"Alexander County, Illinois",B25007_001,2252,182
17003,"Alexander County, Illinois",B25007_002,1685,139
17003,"Alexander County, Illinois",B25024_001,3965,36
17003,"Alexander County, Illinois",B25024_002,2813,157
