GEOID,NAME,variable,estimate,moe
10100,"Aberdeen, SD Micro Area",B01001H_001,37372,41
10100,"Aberdeen, SD Micro Area",B01002_001,37.7,0.9
10100,"Aberdeen, SD Micro Area",B02001_001,42864,NA
10100,"Aberdeen, SD Micro Area",B02001_002,38224,187
10100,"Aberdeen, SD Micro Area",B07001_017,36497,880
10100,"Aberdeen, SD Micro Area",B07011_001,33239,1928
10100,"Aberdeen, SD Micro Area",B15003_001,28387,324
10100,"Aberdeen, SD Micro Area",B15003_017,7589,632
10100,"Aberdeen, SD Micro Area",B15003_018,1049,239
10100,"Aberdeen, SD Micro Area",B15003_019,1767,283
10100,"Aberdeen, SD Micro Area",B15003_020,3923,393
10100,"Aberdeen, SD Micro Area",B15003_021,3425,383
10100,"Aberdeen, SD Micro Area",B15003_022,6133,463
10100,"Aberdeen, SD Micro Area",B15003_023,1637,263
10100,"Aberdeen, SD Micro Area",B15003_024,684,251
10100,"Aberdeen, SD Micro Area",B15003_025,393,160
10100,"Aberdeen, SD Micro Area",B17001_001,41527,288
10100,"Aberdeen, SD Micro Area",B19301_001,33591,1878
10100,"Aberdeen, SD Micro Area",B25002_001,20155,167
10100,"Aberdeen, SD Micro Area",B25002_003,2360,349
10100,"Aberdeen, SD Micro Area",B25007_001,17795,372
10100,"Aberdeen, SD Micro Area",B25007_002,11933,371
10100,"Aberdeen, SD Micro Area",B25024_001,20155,167
10100,"Aberdeen, SD Micro Area",B25024_002,12829,460
10100,"Aberdeen, SD Micro Area",B25024_003,638,233
10100,"Aberdeen, SD Micro Area",B25077_001,168300,5404
10140,"Aberdeen, WA Micro Area",B01001H_001,58450,70
10140,"Aberdeen, WA Micro Area",B01002_001,44.3,0.3
10140,"Aberdeen, WA Micro Area",B02001_001,73769,NA
10140,"Aberdeen, WA Micro Area",B02001_002,63746,552
10140,"Aberdeen, WA Micro Area",B07001_017,62178,1205
10140,"Aberdeen, WA Micro Area",B07011_001,27373,1018
10140,"Aberdeen, WA Micro Area",B15003_001,53730,149
10140,"Aberdeen, WA Micro Area",B15003_017,14902,1049
10140,"Aberdeen, WA Micro Area",B15003_018,4166,447
10140,"Aberdeen, WA Micro Area",B15003_019,5014,463
10140,"Aberdeen, WA Micro Area",B15003_020,9439,620
10140,"Aberdeen, WA Micro Area",B15003_021,6133,594
10140,"Aberdeen, WA Micro Area",B15003_022,5673,613
10140,"Aberdeen, WA Micro Area",B15003_023,2405,374
10140,"Aberdeen, WA Micro Area",B15003_024,329,125
10140,"Aberdeen, WA Micro Area",B15003_025,241,114
10140,"Aberdeen, WA Micro Area",B17001_001,70152,850
10140,"Aberdeen, WA Micro Area",B19301_001,27277,1171
10140,"Aberdeen, WA Micro Area",B25002_001,36572,338
